number,eps_temp,eps_exp,eps_opls,eps_gaff,st_temp,st_exp,st_opls,st_gaff,solvent,MW,den_temp,den_exp,den_opls,den_gaff,vap_temp,vap_exp,vap_opls,vap_gaff,cmp_temp,cmp_exp,cmp_opls,cmp_gaff,therex_temp,therex_exp,therex_opls,therex_gaff,cp_temp,cp_exp,cp_opls,cp_gaff,cv_temp,cv_exp,cv_opls,cv_gaff
68,298.15,4.1,4.1,3.3,298.15,22.03,27.4,24,ethenyl^acetate,86.089,298.15,925.6,970.2,979,298.15,34.58,44.07,43.4,298.15,,0.67,0.78,298.15,1.3,1.04,1.41,298.15,,150.8,144.2,298.15,171.47,150.9,144.3
69,293.15,39,30.2,,298.15,44.6,30,,oxolan-2-one,86.089,293.15,1129.6,1105.9,1142.7,293.15,52.84,53.12,64.6,293.15,,0.42,0.34,293.15,0.74,0.69,0.8,293.15,,147.3,140.5,293.15,139.96,147.3,140.5
70,293.15,22.45,8.9,12.5,298.15,32,32,,acetyl^acetate,102.088,293.15,1082,1122.7,1131.1,293.15,47.32,61.27,68.65,293.15,,0.36,0.39,293.15,1.15,0.85,0.83,293.15,,179.8,172,293.15,189.13,179.8,172
71,298.15,9.51,8.4,8.6,298.15,35.42,25.4,26.3,1*4-dichlorobutane,127.012,298.15,1133.1,1128.1,1125.3,298.15,46,46.92,48.84,298.15,0.69,0.8,0.71,298.15,1,1.1,0.92,298.15,189.2,169.3,167.2,298.15,189.23,169.3,167.3
72,298.15,8.04,5.7,,298.15,26.65,17.7,24.4,oxolane,72.1054,298.15,883.7,858.8,893.8,298.15,31.8,32.14,37.14,298.15,0.95,1.1,0.76,298.15,1.29,1.83,1.32,298.15,123.87,134.8,131.6,298.15,123.9,134.8,131.6
73,293.15,4.4,4.4,,298.15,30,30,,ethoxyethene,72.1054,293.15,758.9,775.4,766.7,293.15,27.84,31.51,31.93,293.15,,1.4,1.5,293.15,1.57,1.65,1.82,293.15,,135.2,130.3,293.15,153.58,135.2,130.4
74,298.15,5.99,4,3.9,298.15,23.39,23.2,24.1,ethyl^acetate,88.1048,298.15,894.5,921.4,931.8,298.15,35.59,41.91,45.81,298.15,1.21,0.8,0.74,298.15,1.38,1.16,1.44,298.15,167.67,169.5,164.5,298.15,167.7,169.6,164.6
75,320,41.24,15.5,25.1,320,53.33,46.2,55.9,tetrahydrothiophene^1*1-dioxide,120.17,320,1248.99,1260,1299.3,320,66.59,72.33,86.42,320,,0.36,0.26,320,0.88,,0.88,,,,,,,,
76,298.15,7.1,7.1,6.1,298.15,33.82,26.9,23.7,thiolane,88.171,298.15,994,981.4,975.9,298.15,38.62,41.12,38.85,298.15,,0.67,0.77,298.15,0.95,1.07,1.07,298.15,,147.2,139.5,298.15,139.8,147.2,139.6
77,298.15,6.89,6.3,5.6,298.15,25.9,20.3,16.5,1-bromobutane,137.018,298.15,1268.7,1317.9,1180.5,298.15,36.6,40.05,36.91,298.15,1.03,0.93,1.2,298.15,1.14,1.21,1.3,298.15,168.07,155.4,147,298.15,168.1,155.4,147
78,298.15,7.09,4.9,6.2,298.15,23.18,15.1,15.8,1-chlorobutane,92.5669,298.15,880.8,877.7,871.1,298.15,33.52,33.77,35.63,298.15,1.21,1.34,1.23,298.15,0.8,1.56,1.34,298.15,174.59,151,146.2,298.15,174.6,151.1,146.2
79,298.15,8.04,5.2,4.8,298.15,37.06,19,25.7,pyrrolidine,71.1206,298.15,853.8,855,881.3,298.15,37.57,38.28,42.13,298.15,0.81,0.92,0.66,298.15,1.13,1.38,1.25,298.15,156.48,146.5,141.3,298.15,156.5,146.5,141.3
80,298.15,38.9,14.3,19.4,298.15,33.09,32.1,31.3,N*N-dimethylacetamide,87.12,298.15,936.8,927.1,945.8,298.15,50.23,51.82,53.55,298.15,0.63,0.53,0.56,298.15,0.98,1.03,1.21,298.15,175.97,182.2,174.5,298.15,176,182.3,174.6
81,293.15,7.46,4.2,5.8,298.15,37.68,32.7,44.4,morpholine,87.12,293.15,1000.5,1045.6,1088,293.15,45.32,54.13,59.56,293.15,,0.51,0.32,293.15,0.91,1.01,0.81,293.15,,167.8,160.5,293.15,173.88,167.8,160.6
82,298.15,12.98,6.7,,298.15,36.56,29.1,27.6,pyridine,79.0997,298.15,977.8,975.3,982.2,298.15,40.15,41.34,41.27,298.15,0.71,0.64,0.64,298.15,1.02,1.07,1.14,298.15,135.58,125.9,120.8,298.15,135.6,125.9,120.8
83,298.15,13.58,9.5,8.3,298.15,32.8,26.2,30.3,cyclopentanone,84.1161,298.15,945.2,942.8,936.6,298.15,42.63,42.89,48.17,298.15,,0.69,0.56,298.15,1.02,0.92,0.86,298.15,,159.1,152.8,298.15,154.5,159.1,152.8
84,298.15,13.9,13.9,13.8,298.15,24.8,24.8,22.9,1-cyclopropylethanone,84.1161,298.15,894.48,875.2,901.1,298.15,39.4,44.04,45.66,298.15,,0.76,0.75,298.15,1.13,,1.29,298.15,,167.4,158.4,298.15,,167.4,158.4
85,298.15,26.28,5.1,28.9,298.15,30.9,32.9,33.8,pentane-2*4-dione,100.115,298.15,972,1015.9,985.7,298.15,41.8,56.39,60.19,298.15,,0.5,0.51,298.15,1.09,1.02,0.85,298.15,,197.2,183.9,298.15,208.2,197.2,184
86,298.15,6.53,25,4,298.15,24.24,29.4,23.4,methyl^2-methylprop-2-enoate,100.115,298.15,937.7,984.3,960.7,298.15,39.13,54.73,46.34,298.15,,0.61,0.73,298.15,1.2,1.03,1.05,298.15,,187.4,178.1,298.15,189.82,187.4,178.1
87,298.15,19.89,10.7,,298.15,26.97,17.5,21.5,pentanenitrile,83.1313,298.15,794.4,783.3,775.1,298.15,44.08,42.65,46.25,298.15,0.95,1.15,0.88,298.15,1.06,1.43,1.19,298.15,189.68,156.6,167.8,298.15,189.7,156.6,167.8
88,298.15,5.76,3.7,3,298.15,23.8,22.3,22.8,ethyl^propanoate,102.131,298.15,884.2,908.3,908.2,298.15,39.25,46.45,49.58,298.15,1.3,0.77,0.77,298.15,1.25,1.24,1.39,298.15,196.07,202.9,195.5,298.15,196.1,203,195.6
89,298.15,2.84,2.84,1.3,298.15,25.92,25,29.2,diethyl^carbonate,118.131,298.15,969.1,998.6,1020.9,298.15,41.1,52.66,60.79,298.15,1,0.68,0.53,298.15,1.1,1.1,0.72,298.15,212.37,223.6,219.5,298.15,212.4,223.6,219.5
90,298.15,15.13,10.6,9.5,298.15,25.36,19,19.4,pentan-1-ol,88.1477,298.15,812.4,811.7,819.6,298.15,57.02,56.79,65.43,298.15,0.88,0.82,0.74,298.15,0.89,1.11,0.86,298.15,208.88,207.2,197.3,298.15,208.9,207.3,197.3
91,298.15,13.35,8.5,8.4,298.15,23.65,18.8,19.7,pentan-3-ol,88.1477,298.15,815.99,819.3,816.4,298.15,52.37,53.65,57.79,298.15,0.93,0.88,0.76,298.15,1.2,1.51,1.25,298.15,247.69,208.7,200.6,298.15,247.72,208.7,200.7
92,293.15,5.97,5.3,,298.15,18.4,18.4,19.2,2-methylbutan-2-ol,88.1477,298.15,805,829.4,834.7,298.15,50.2,50.64,66.93,298.15,1.11,0.87,0.69,298.15,1.14,1.23,0.92,298.15,244.28,212.8,204.2,298.15,244.3,212.8,204.2
93,300,25.3,25.3,,298.15,46.32,46.8,51.4,pentane-1*5-diol,104.147,298.15,986.2,990.8,1016.2,298.15,82.4,89.14,101.08,298.15,0.46,0.41,0.3,298.15,0.61,0.86,0.56,298.15,225.49,228.2,214.8,298.15,225.5,228.2,214.9
94,298.15,3.4,3.4,,298.15,22.26,15.8,18.1,pentan-3-amine,87.1629,298.15,743.67,766.7,779.6,298.15,39.64,40.45,46.96,298.15,,1.15,0.91,298.15,1.3,1.62,1.41,298.15,,206.6,,298.15,205.13,206.7,
95,298.15,7.2,7.2,5.3,298.15,14.2,14.2,11.2,1*2*3*4-tetrafluorobenzene,150.074,298.15,1416.1,1348.3,1247.8,298.15,36.61,36.85,35.45,298.15,,1.39,1.84,298.15,1.77,,1.52,298.15,,173.3,170.6,298.15,190.06,173.4,170.7
96,,8.1,8.1,,298.15,13.1,13.1,9.4,1*2*3*5-tetrafluorobenzene,150.074,298.15,1393,1342.8,1231.9,298.15,35.4,37.1,33.81,298.15,,1.51,1.96,298.15,1.8,,1.77,298.15,,175.9,169.7,298.15,190.19,176,169.7
97,298.15,5.06,3.8,,298.15,25.95,14.1,15,1*3-difluorobenzene,114.093,298.15,1162.02,1107.1,1090.6,298.15,36.58,34.03,33.78,298.15,,1.44,1.25,298.15,1.2,1.75,1.36,298.15,,145.2,140.5,298.15,159.1,145.2,140.5
98,298.15,13.59,11.3,,298.15,26.07,16.1,16.1,1*2-difluorobenzene,114.093,298.15,1150.01,1119.3,1099.3,298.15,36.11,35.59,35.24,298.15,,1.4,1.26,298.15,1.2,1.67,1.53,298.15,,146.3,140.7,298.15,159,146.4,140.7
99,298.15,5.34,5.34,3.3,298.15,26.66,18.3,16.7,fluorobenzene,96.1021,298.15,1019.1,1015,989.6,298.15,34.58,34.37,33.87,298.15,0.94,1.01,1.26,298.15,1.18,1.2,1.6,298.15,146.28,155.5,126.9,298.15,146.3,155.6,126.9
100,298.15,34.81,8,25.2,298.15,43.23,33.6,45.3,nitrobenzene,123.109,298.15,1198.7,1174.4,1233.1,298.15,55.01,55.4,70.79,298.15,0.51,0.48,0.34,298.15,0.85,0.82,0.77,298.15,177.17,174.9,177.9,298.15,177.2,174.9,177.9
101,293.15,13.4,8,4.7,293.15,40.73,33.1,30.9,2-chloroaniline,127.571,293.15,1210,1228.8,1239.2,293.15,57.6,57.28,56.13,293.15,,0.47,0.51,293.15,0.86,,0.9,293.15,,175.1,174.4,293.15,196.88,175.2,174.5
102,318.15,11.15,5.8,,318.15,38.72,30.1,27.6,phenol,94.111,318.15,1054.5,1057,1051.5,318.15,56.32,61.26,53.16,318.15,,0.54,0.61,318.15,0.8,0.92,1.15,318.15,,167.4,160.4,318.15,202.77,167.4,160.4
103,298.15,4.27,2.4,2.9,298.15,38.7,21.6,23.9,benzenethiol,110.177,298.15,1073.01,1051.1,1061.4,298.15,48.47,41.11,43.75,298.15,,0.83,0.85,298.15,0.9,1.11,1.38,298.15,,153.4,153.1,298.15,173.55,153.4,153.1
104,298.15,9.95,5.2,,298.15,33,27.6,25.7,2-methylpyridine,93.1262,298.15,939.8,948,941.5,298.15,42.92,45.9,44.87,298.15,,0.63,0.72,298.15,0.99,1.14,0.96,298.15,,161.4,154.6,298.15,159.2,161.4,154.7
105,298.15,11.64,7.1,5.6,298.15,35.04,29,26.6,3-methylpyridine,93.1262,298.15,953.3,952.1,944.2,298.15,45.23,47.14,45.59,298.15,,0.59,0.66,298.15,0.97,0.96,0.97,298.15,,161.6,153.7,298.15,159,161.6,153.7
106,298.15,11.96,11.96,6.6,298.15,35.43,27.9,26.8,4-methylpyridine,93.1262,298.15,950.3,948.4,950.3,298.15,44.81,46.4,46.06,298.15,0.7,0.6,0.67,298.15,0.96,0.95,1.29,298.15,158.98,160.6,154.2,298.15,159,160.6,154.3
107,298.15,15.62,7.6,8.5,298.15,34.57,27.3,30,cyclohexanone,98.1426,298.15,941.9,947.9,936.8,298.15,45.13,47.61,52.1,298.15,0.66,0.65,0.56,298.15,0.95,0.99,1.05,298.15,179.27,193.2,182.3,298.15,179.3,193.2,182.4
108,293.15,1,1,1,293.15,12.8,12.8,10.8,(E)-hex-2-ene,84.159,293.15,678.5,682,660.3,293.15,32.2,33.62,32.14,293.15,,1.55,1.86,293.15,1.7,,1.53,,,,,,,,
109,298.15,14.6,10.1,,298.15,25.45,19.3,20.2,hexan-2-one,100.158,298.15,807,821.5,803.4,298.15,42.9,46.44,48.63,298.15,1.01,0.93,0.87,298.15,1.1,1.28,1.45,298.15,213.14,213.9,203.7,298.15,213.17,213.9,203.8
110,293.15,14.7,64.18,8.17,293.15,26.16,30.1,36.9,2*4*6-trimethyl-1*3*5-trioxane,132.157,293.15,994.3,1094.8,1095.7,293.15,44.96,74.17,76.61,293.15,,0.55,0.31,293.15,1.1,1.18,0.63,293.15,,249.4,246.4,293.15,255.56,249.4,246.4
111,298.15,4.55,4.3,4,298.15,31.22,24,29.1,cyclohexanamine,99.1736,298.15,863,898,921.1,298.15,43.23,50.02,61.77,298.15,,0.68,0.5,298.15,1,1.2,0.83,298.15,,216.7,207.9,298.15,200.84,216.7,207.9
112,298.15,3.97,2.6,13.9,298.15,17.27,13.2,16.6,2-propan-2-yloxypropane,102.174,298.15,718.1,748.2,762.7,298.15,32.6,36.69,42.9,298.15,1.61,1.48,1.08,298.15,1.48,1.59,1.46,298.15,216.06,225.5,221.6,298.15,216.1,225.5,221.6
113,298.15,7.23,6,7.8,298.15,29.3,24.9,33.5,1-methoxy-2-(2-methoxyethoxy)ethane,134.173,298.15,938.3,954.5,1009.1,298.15,43.15,62.23,72.34,298.15,0.64,0.68,0.46,298.15,1.07,1.03,1.1,298.15,225.95,273.6,267.8,298.15,226,273.6,267.9
114,298.15,13.2,28.2,3.4,298.15,29.61,28.8,31.2,triethyl^phosphate,182.154,298.15,1069.6,1082.1,1120.6,298.15,57.3,77.69,86.07,298.15,1.49,0.58,0.37,298.15,0.96,1.03,0.24,298.15,,333.2,325.4,298.15,,333.3,325.4
115,298.15,2.38,2.7,1.4,298.15,20.22,13.9,16.8,N*N-diethylethanamine,101.189,298.15,722.8,744.1,753.1,298.15,34.88,38.16,42.25,298.15,1.38,1.34,1.03,298.15,1.3,1.79,1.47,298.15,224.37,228.8,221.5,298.15,224.4,228.9,221.5
116,298.15,2.5,2.5,,298.15,19.14,15,18,N-propan-2-ylpropan-2-amine,101.189,298.15,712.27,751,762.3,298.15,34.65,39.44,44.51,298.15,1.45,1.26,0.99,298.15,1.3,1.35,1.19,298.15,226.32,235.6,229.9,298.15,226.35,235.7,230
117,298.15,9.22,9.22,6.5,298.15,23.21,16,16.7,trifluoromethylbenzene,146.11,298.15,1177.98,1191,1171.9,298.15,37.73,38.88,41.92,298.15,,1.15,1.16,298.15,1.2,1.35,1.36,298.15,,184.2,185.1,298.15,188.8,184.3,185.2
118,288.15,26.41,6.6,16.9,293.15,38.59,33.9,28,benzonitrile,103.121,288.15,1009.3,1014.1,989.3,288.15,52.14,54.09,53.52,288.15,,0.48,0.68,288.15,0.83,0.89,1.05,288.15,,165.2,150.3,288.15,163,165.2,150.4
119,298.15,17.4,17.4,10.9,298.15,38,32.5,31,benzaldehyde,106.122,298.15,1043.6,1031.4,1036.9,298.15,39.6,54.47,52.83,298.15,0.23,0.48,0.58,298.15,0.25,0.77,1.06,298.15,172,169.5,161.1,298.15,172,169.5,161.1
120,298.15,2.37,1.2,1.1,298.15,27.73,20.9,17,toluene,92.1381,298.15,861.9,872,851.2,298.15,37.99,40.02,37.39,298.15,0.92,0.88,1.06,298.15,1.07,1.49,1.62,298.15,157.18,161.7,153.5,298.15,157.2,161.7,153.5
121,298.15,4.22,2.4,2.6,298.15,35.1,25,25.9,methoxybenzene,108.138,298.15,989.4,980.7,991.9,298.15,45,47.53,48.89,298.15,0.69,0.65,0.65,298.15,0.95,1.08,1.18,298.15,208.57,179.5,177.3,298.15,208.6,179.6,177.3
122,297.15,13.09,7.9,5.8,298.15,35.97,30.9,29.1,phenylmethanol,108.137,297.15,1041.9,1041.5,1045.2,297.15,65.59,62.16,62.62,297.15,,0.46,0.51,297.15,0.69,0.8,0.81,297.15,,188.8,182.7,297.15,216.44,188.8,182.8
123,308.15,6.44,4.2,4.2,308.15,36.11,29.7,27.1,2-methylphenol,108.137,308.15,1032.7,1039.4,1040.4,308.15,56.9,63.93,63.66,308.15,,0.5,0.52,308.15,0.79,0.93,0.96,308.15,,201,194.2,308.15,234.03,201.1,194.2
124,320,10.43,6.9,5.2,300,12,12,,3-methylphenol,108.137,320,1012.38,1022.2,1020.4,320,60.91,66.28,65.2,320,0.61,0.53,0.56,320,0.75,0.98,1,,,,,,,,
125,313.15,11.21,7.1,3.9,313.15,34.88,29,24.6,4-methylphenol,108.137,313.15,1018.5,1027.1,1005.4,313.15,63.23,67.37,57.23,313.15,,0.49,0.6,313.15,0.85,0.81,0.96,313.15,,203.5,195.6,313.15,229.41,203.5,195.6
