Heat of vaporization,Heat capacity,Dielectric constant,Surface tension,Compressibility,Thermal expansion,Density,MW,Donor hydrogen bond count,Acceptor hydrogen bond count,Heavy atom count,Aromaticity,PAC mean heavy atoms,PAC max,deltaG(sol),deltaG(exf),chemical_form,Smiles,CAS_number,Solvent_full,Solvent_number
59.62,228.87,12.78,22.97,1.34,1.89,754.1,101.19,0,1,7,0,0.106363636,0.63,166.8152794,47.64196465,xx,CCN(CC)CC,,115_N-N-diethylethanamine,115
54.09,150.64,6.6,40.37,0.48,0.89,1014.1,103.12,0,1,8,1,0.143571429,0.43,172.6220182,56.97556599,C6H5,N#Cc1ccccc1,,118_benzonitrile,118
40.02,157.18,10.05,20.96,0.88,1.49,872,92.14,0,0,7,1,0.100666667,0.115,148.2699886,56.9141826,C7H8,Cc1ccccc1,,120_TL,120
66.28,246.84,6.9,31.44,0.53,0.98,1022.2,108.14,1,1,8,1,0.153125,0.585,166.7035348,50.33735918,xx,CC1=CC(=CC=C1)O,,124_3-methylphenol,124
63.53,238.11,10.96,30.4,0.53,1,1057,138.16,0,2,10,1,0.103,0.285,164.3705815,52.89996009,xx,COC1=CC=CC=C1OC,,135_1-2-dimethoxybenzene,135
50.21,289.39,14.91,37.61,1.13,1.52,767.8,130.23,0,1,9,0,0.091851852,0.4,151.8483466,48.89721665,xx,CCCCOCCCC,,138_1-butoxybutane ,138
61.05,194.05,15.65,33.73,0.48,0.9,1077.7,129.16,0,1,10,1,0.211529412,0.694,181.9062828,44.37465003,C9H7N,C1=CC=C2C(=C1)C=CC=N2,,141_quinoline,141
59.43,316.96,8.8,20.21,0.77,1.33,836.1,142.24,0,1,10,0,0.110714286,0.47,167.5681984,53.83961022,C9H18O,CC(C)CC(=O)CC(C)C,,144_2-6-dimethylheptan-4-one,144
72.7,270.17,11.06,32.63,0.46,1.15,1082.1,170.21,0,1,13,1,0.123478261,0.27,170.2626226,48.91117446,C12H10O,O(c1ccccc1)c2ccccc2,,146_phenoxybenzene,146
40.16,150.59,6.54,32.99,0.8,1.32,1111,112.55,0,0,7,1,0.108969,0.172651,138.8,58.03876853,C6H5Cl,c1ccc(cc1)Cl,,CB,201
39.34,141.71,7.6,42.3,0.45,0.7,1037,167.25,0,1,12,1,0.185503448,0.9313,195.3102623,62.56,C10H17NO,O=C2N(C1CCCCC1)CCC2,,CHP,202
49.03,163.78,1.05,36.61,0.85,1.33,1285,147,0,0,8,1,0.092533333,0.1255,139,49.25883694,C6H4Cl2,ClC1=CC=C(Cl)C=C1,,DCB,203
45.39,163.89,11.38,22.07,1.08,1.1,800,60.1,1,1,4,0,0.173833333,0.683,156.6,59.52109464,C3H8O,CC(O)C,,IPA,204
52.81,189.1,19.68,35.19,0.38,0.75,1033,99.13,0,1,7,1,0.16875,0.44,192.6,44.69783352,C5H9NO,CN1CCCC1=O,872-50-4,NMP,205
55.32,149.07,12.23,40.72,0.4,0.77,1044.7,111.14,0,1,10,1,0.238847059,0.7905,189.8731471,49.72272759,C6H9NO,O=C1N(C=C)CCC1,,NVP,206
